,location:Latitude,location:Longitude
10,33.56632475,-86.79439191
11,31.96582461,-87.47792357
13,33.50837408,-86.80856562
14,31.9918251,-87.29091803
16,33.49248827,-86.79564341
18,33.55883041,-86.8191733
19,33.52011547,-86.80962317
1,33.51008404,-86.80973051
20,31.96530404,-87.48555554
21,33.48637836,-86.82018627
23,33.52103795,-86.77701044
25,,
26,,
27,33.51016525,-86.84542073
28,33.54936778,-86.7843688
29,,
2,31.96722176,-87.63193427
32,32.11612991,-87.39199336
35,33.46105312,-86.88760486
37,33.48584864,-86.81803947
39,33.5604949,-86.81728417
3,31.96576806,-87.47777599
41,31.95675253,-87.47756973
42,32.02598667,-87.31874946
43,33.5485593,-86.78249648
45,31.9902095,-87.29016103
46,33.52410605,-86.77026455
47,32.00173405,-87.33470675
49,33.51954211,-86.81061529
4,33.50253238,-86.80197573
6,,
7,31.99123288,-87.28875148
8,33.5094997,-86.80155859
9,33.50919348,-86.84101659
